ClienteLog{dni='12345678', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-10 20:44:16}

ClienteLog{dni='75423699', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-10 20:17:54}

ClienteLog{dni='87654321', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-10 20:18:08}

ClienteLog{dni='11223344', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-02 22:35:26}

ClienteLog{dni='3432455', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-02 22:35:39}

ClienteLog{dni='4534566', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-02 22:36:11}

ClienteLog{dni='44565454', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-02 22:27:18}

ClienteLog{dni='36242246', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-02 22:27:19}

ClienteLog{dni='54545455', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-10 20:16:14}

ClienteLog{dni='234433443', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-02 22:36:12}

ClienteLog{dni='66666666', tiempoInicio=2024-06-02 18:21:15, tiempoFin=2024-06-02 22:36:13}

ClienteLog{dni='78747573', tiempoInicio=2024-06-10 20:44:02, tiempoFin=null}

ClienteLog{dni='1111111', tiempoInicio=2024-06-10 20:48:11, tiempoFin=null}

